author,comment,likes,published_at
@SitiMaesaroh-q8f,"ALLOHUAKBAR 3X.... HASBUNALLOHU WANI MAAL WAKKIL, SHALALLOH ALLA MUHAMMAD SHALALLOH ALLAIHIWASSALLAM, ALFATIHAH 1X... INSYAA ALLOH UNTUK KEMENANGAN, KEUNGGULAN, STRONG PASUKAN REPUBLIK ISLAM IRAN CS GROUP 👳🏻👳🏻👳🏻👍🏻👍🏻👍🏻💪🏻💪🏻💪🏻 TUMPAS HANGUSKAN TERORIS2 YAHUDI NASRANI ISRAEL AMERIKA CS GROUP JADI PASUKAN CECURUT TIKUS GOSONG REMUK NYUNGSEP 🔥🔥🐀🐀😈😈 ALHAMDULILLAH AAMIIN YAA RABBAL ALLAMIIN ☝🏻🤲🏻🤲🏻🤲🏻🤲🏻",1,2026-04-15T01:36:45Z
@SarifadamnaholoSarifadamnaholo,Hati hati Iran Amerika Serikat akan hubungi RAMBO 😂😂😂😂,0,2026-04-15T01:34:17Z
@cuyungadih9941,Kasian libanon tidak punya rudal pertahanan udara. ..,0,2026-04-15T01:20:49Z
@herupriyatno7871,𝘿𝙤𝙣𝙖𝙡𝙙 𝘽𝙚𝙗𝙚𝙠 𝙨𝙖𝙢𝙖 𝙨𝙚𝙩𝙖𝙣𝙣𝙮𝙖𝙝𝙤... 𝙎𝙖𝙢𝙖 𝙂𝙞𝙡𝙖𝙣𝙮𝙖 𝙩𝙪𝙠𝙖𝙣𝙜 𝘽𝙤𝙝𝙤𝙣𝙜 𝙙𝙖𝙣 𝙩𝙞𝙥𝙪 𝙩𝙞𝙥𝙪 𝙝𝙖𝙧𝙪𝙨 𝙙𝙞 𝙡𝙚𝙣𝙮𝙖𝙥𝙠𝙖𝙣 𝙗𝙞𝙖𝙧 𝙉𝙚𝙜𝙖𝙧𝙖 𝙙𝙞 𝙙𝙪𝙣𝙞𝙖 𝘿𝙖𝙢𝙖𝙞...,0,2026-04-15T01:13:02Z
@SutrisNo-q8h,Kerakusan bangsa amerika .usir penjajah .timur tengah .setan nyahu usir,0,2026-04-15T01:06:16Z
@hendrisuparyandi8254,Israel laknatullah jahanam,0,2026-04-15T01:04:59Z
@ZEShan-j2x,"PERCUMA DIPLOMASI DENGAN AMERICA, BAKAL MENGHIANATI   KESEPAKATAN, MEREKA SETELAH IRAN MENLUCUTI PEMBUATAN NUKLIR  MAKA AMERIKA AKAN MENYERANG HABIS HABISAN, SEPERTI CONTOH  NEGARA IRAK SAAT DIPIMPIN OLEH SADAM HOSEIN...SETELAH DILUCUTI PERSENJATAANNYA MALAH DIBUMI HANGUSKAN, 

NEGARA YAHUDI AMERIKA DAN ISRAEL HAYA TUNDUK ELIT GLOBAL MEREKA YG DIPIMPIN DAZAL YG MASIH HIDUP, KARNA APABILA PRESIDENT AMERIKA TDK TUNDUK DGN PERINTAH ELIT GLOBAL AKAN DIHABISI, MAKANYA AMERIKA BERSIKERAS UTUK MELAKUKAN DIPLOMASI SEBAGAI STRATEGI TIPU DAYA😢",0,2026-04-15T00:42:48Z
@ZEShan-j2x,"PERCUMA DIPLOMASI DENGAN AMERICA, BAKAL MENGHIANATI   KESEPAKATAN, MEREKA SETELAH IRAN MENLUCUTI PEMBUATAN NUKLIR  MAKA AMERIKA AKAN MENYERANG HABIS HABISAN, SEPERTI CONTOH  NEGARA IRAK SAAT DIPIMPIN OLEH SADAM HOSEIN...SETELAH DILUCUTI PERSENJATAANNYA MALAH DIBUMI HANGUSKAN, 

NEGARA YAHUDI AMERIKA DAN ISRAEL HAYA TUNDUK ELIT GLOBAL MEREKA YG DIPIMPIN DAZAL YG MASIH HIDUP, KARNA APABILA PRESIDENT AMERIKA TDK TUNDUK DGN PERINTAH ELIT GLOBAL AKAN DIHABISI, MAKANYA AMERIKA BERSIKERAS UTUK MELAKUKAN DIPLOMASI SEBAGAI STRATEGI TIPU DAYA😢",0,2026-04-15T00:42:37Z
@sanso9426,"US DATANG SERIBU
PULANG TINGGAL SATU
SEMOGA TERBUKTI
ALLAHU AKBAR 
ALLAHU AKBAR 
ALLAHU AKBAR 
ALLHAMDULILLAH
💪💪💪💪💪💪💪",0,2026-04-15T00:39:17Z
@JonhBabo,Support Iran 💪💪💪💪,0,2026-04-15T00:07:53Z
@Pranajayalesmana,"Gak perlu takut tembak saja kapal zionis itu dasar tentara bodoh mau ditipu Donal bebek iblis bodoh kau tentara Amrik,mati sia2 kau di Iran",1,2026-04-14T22:48:52Z
@jaenimadaseni5390,"Kemana penjaga perdamaian TNI,",0,2026-04-14T22:34:44Z
@Jukutkoa1446,"Iran seperti sudah menang saja padahal sudah babak belur,sok sok mengancam padahal sudah tidak berdaya ditutupi dengan kebohongan 😂😂😂",0,2026-04-14T22:13:02Z
@JokoumboroUmboro,Inilah sifat ketidak profosionalnya tentara iblis beraninya melawan warga yg gak punya senjata coba kalau melawan yg bersenjata mampuslah iblis tsb.,0,2026-04-14T21:37:07Z
@azmiahmad6858,Rakyat America tunggu di hancurkn🤣,0,2026-04-14T20:51:36Z
@azmiahmad6858,Rakyat America maju tapi melantik President yang lemah 🤣,0,2026-04-14T20:51:04Z
@saefulanam6701,Cina dulu beda sma cina sekarang cina sekarang alat tempurnya lebih cangih dari pd amerika mengacam cina sma saja mengharapakan hancur.,0,2026-04-14T20:29:05Z
@sersanbudi3651,WELCOME PERANG DUNIA KE 3 🔥🔥🔥,0,2026-04-14T19:36:18Z
@FaizAbqary-b6b,Persiden paling tolol  di dunia bebek ini,0,2026-04-14T18:36:15Z
@adjiswarnomo8400,"Nah stres kan,",0,2026-04-14T18:23:20Z
@yukibandelholland7776,Masik lumayan dikasih tau .,0,2026-04-14T17:56:31Z
@sutrisnoatmo7234,RESIKO MEMILIH PEMIMPIN UDAH PIKUN.......,0,2026-04-14T17:38:01Z
@KomboYono,"Ternyata keadilan bener"" ada ini buktinya mantap 👍",0,2026-04-14T17:37:38Z
@JMpoye,"Hey iran,segera bangunkan senjata nuklir sebelum terlambat,ajar us juga israel",0,2026-04-14T16:47:30Z
@JMpoye,"Hry warga nablos,di mana abbas barua us atau hammas saat kamu di ganggu israel zionis?",0,2026-04-14T16:43:16Z
@WazirAbdul-b2k,"Tram menganggap dirinya seorang fir aun,atau ingin jdi fir aun  ?",0,2026-04-14T15:36:20Z
@SriSulistyati23,Memange wilayah as,0,2026-04-14T15:11:12Z
@Fauzi70Kal,Trumps  ini memang anak HARAM  omongannya  berserakan,0,2026-04-14T15:09:56Z
@AlfaziEh,Mana PBB Israel nyata2 menyerang rakyat sipil tp melindungi Israel ga berani bertindak,0,2026-04-14T15:03:14Z
