comment,cleaning,case_folding,normalisasi,tokenize,stopword removal
"AS, DONAL ANJING MAU MENANG SENDRI, DIA DAN NEGARA LAIN BOLEH BANTU SIREWEL YAHUDI ISRAEL TP NEGARA LAIN TIDAK BOLEH BNTU IRAN, AS ISRAEL BOLEH BUAT NUKLIR NEGARA LSIN TIDAK BOLEH, KAN BAABI",AS DONAL ANJING MAU MENANG SENDRI DIA DAN NEGARA LAIN BOLEH BANTU SIREWEL YAHUDI ISRAEL TP NEGARA LAIN TIDAK BOLEH BNTU IRAN AS ISRAEL BOLEH BUAT NUKLIR NEGARA LSIN TIDAK BOLEH KAN BAABI,as donal anjing mau menang sendri dia dan negara lain boleh bantu sirewel yahudi israel tp negara lain tidak boleh bntu iran as israel boleh buat nuklir negara lsin tidak boleh kan baabi,as donal anjing mau menang sendiri dia dan negara lain boleh bantu sirewel yahudi israel tapi negara lain tidak boleh bantu iran as israel boleh buat nuklir negara lsin tidak boleh kan baabi,"['as', 'donal', 'anjing', 'mau', 'menang', 'sendiri', 'dia', 'dan', 'negara', 'lain', 'boleh', 'bantu', 'sirewel', 'yahudi', 'israel', 'tapi', 'negara', 'lain', 'tidak', 'boleh', 'bantu', 'iran', 'as', 'israel', 'boleh', 'buat', 'nuklir', 'negara', 'lsin', 'tidak', 'boleh', 'kan', 'baabi']",amerika serikat donald anjing menang negara bantu sirewel yahudi israel negara bantu iran amerika serikat israel nuklir negara lsin baabi
AS kita keroyok yuk,AS kita keroyok yuk,as kita keroyok yuk,as kita keroyok yuk,"['as', 'kita', 'keroyok', 'yuk']",amerika serikat keroyok yuk
Trump maunya Iran bikin bolu kukus gak boleh bikin nukhlier 😂,Trump maunya Iran bikin bolu kukus gak boleh bikin nukhlier ,trump maunya iran bikin bolu kukus gak boleh bikin nukhlier ,trump maunya iran bikin bolu kukus tidak boleh bikin nukhlier,"['trump', 'maunya', 'iran', 'bikin', 'bolu', 'kukus', 'tidak', 'boleh', 'bikin', 'nukhlier']",trump maunya iran bikin bolu kukus bikin nukhlier
"Kelakuan trump ga bedanya anak ingusan ga tau malu, apa trump dah mulai gila beneran.",Kelakuan trump ga bedanya anak ingusan ga tau malu apa trump dah mulai gila beneran,kelakuan trump ga bedanya anak ingusan ga tau malu apa trump dah mulai gila beneran,kelakuan trump tidak bedanya anak ingusan tidak tau malu apa trump sudah mulai gila benaran,"['kelakuan', 'trump', 'tidak', 'bedanya', 'anak', 'ingusan', 'tidak', 'tau', 'malu', 'apa', 'trump', 'sudah', 'mulai', 'gila', 'benaran']",kelakuan trump bedanya anak ingusan malu trump gila benaran
Untuk kenyamanan negara Iran dan arab lainnya harus menundukkan Amerika tidak ada jalan lain.,Untuk kenyamanan negara Iran dan arab lainnya harus menundukkan Amerika tidak ada jalan lain,untuk kenyamanan negara iran dan arab lainnya harus menundukkan amerika tidak ada jalan lain,untuk kenyamanan negara iran dan arab lainnya harus menundukkan amerika tidak ada jalan lain,"['untuk', 'kenyamanan', 'negara', 'iran', 'dan', 'arab', 'lainnya', 'harus', 'menundukkan', 'amerika', 'tidak', 'ada', 'jalan', 'lain']",kenyamanan negara iran arab menundukkan amerika jalan
Hancurkan kapal kapal Amerika jangan kasih maju sejengkal pun Amerika israel,Hancurkan kapal kapal Amerika jangan kasih maju sejengkal pun Amerika israel,hancurkan kapal kapal amerika jangan kasih maju sejengkal pun amerika israel,hancurkan kapal kapal amerika jangan kasih maju sejengkal pun amerika israel,"['hancurkan', 'kapal', 'kapal', 'amerika', 'jangan', 'kasih', 'maju', 'sejengkal', 'pun', 'amerika', 'israel']",hancurkan kapal kapal amerika kasih maju sejengkal amerika israel
"Iran luar biasa, smg Negara lain ikut menghajar US dan Israel",Iran luar biasa smg Negara lain ikut menghajar US dan Israel,iran luar biasa smg negara lain ikut menghajar us dan israel,iran luar biasa semoga negara lain ikut menghajar us dan israel,"['iran', 'luar', 'biasa', 'semoga', 'negara', 'lain', 'ikut', 'menghajar', 'us', 'dan', 'israel']",iran semoga negara menghajar us israel
"Jika AS minta agar tidak kembangkan sejata nuklir ,
maka harus nya AS  dan Israel jgn ada senjata nuklir","Jika AS minta agar tidak kembangkan sejata nuklir 
maka harus nya AS  dan Israel jgn ada senjata nuklir","jika as minta agar tidak kembangkan sejata nuklir 
maka harus nya as  dan israel jgn ada senjata nuklir",jika as meminta agar tidak kembangkan sejata nuklir maka harus ya as dan israel jangan ada senjata nuklir,"['jika', 'as', 'meminta', 'agar', 'tidak', 'kembangkan', 'sejata', 'nuklir', 'maka', 'harus', 'ya', 'as', 'dan', 'israel', 'jangan', 'ada', 'senjata', 'nuklir']",amerika serikat kembangkan sejata nuklir amerika serikat israel senjata nuklir
Wargaa duniiaa jangan nehosuasi ddn bisniiss....nggak ada bisniiss...kevuali sjteeknya amerika,Wargaa duniiaa jangan nehosuasi ddn bisniissnggak ada bisniisskevuali sjteeknya amerika,wargaa duniiaa jangan nehosuasi ddn bisniissnggak ada bisniisskevuali sjteeknya amerika,wargaa duniiaa jangan nehosuasi ddn bisniissnggak ada bisniisskevuali sjteeknya amerika,"['wargaa', 'duniiaa', 'jangan', 'nehosuasi', 'ddn', 'bisniissnggak', 'ada', 'bisniisskevuali', 'sjteeknya', 'amerika']",wargaa duniiaa nehosuasi ddn bisniissnggak bisniisskevuali sjteeknya amerika
IRAN jangan pernah gentar dengan gertakan AS habisi semua kapal 2 AS yang mencampuri kedaatan IRAN,IRAN jangan pernah gentar dengan gertakan AS habisi semua kapal  AS yang mencampuri kedaatan IRAN,iran jangan pernah gentar dengan gertakan as habisi semua kapal  as yang mencampuri kedaatan iran,iran jangan pernah gentar dengan gertakan as habisi semua kapal as yang mencampuri kedaatan iran,"['iran', 'jangan', 'pernah', 'gentar', 'dengan', 'gertakan', 'as', 'habisi', 'semua', 'kapal', 'as', 'yang', 'mencampuri', 'kedaatan', 'iran']",iran gentar gertakan amerika serikat habisi kapal amerika serikat mencampuri kedaatan iran
