comment,cleaning,case_folding,normalisasi,tokenize,stopword removal
Mana nih suara nya yg kmrin koar2 ..Iran udah ciut kt nya ...cuma bisa nyebar n berita2 hoalk.....hai pemakan babi ..buka mata Luh lebar2 ..bila prlu smpe keluar biji mata Luh ....!!!!😂😂😂,Mana nih suara nya yg kmrin koar Iran udah ciut kt nya cuma bisa nyebar n berita hoalkhai pemakan babi buka mata Luh lebar bila prlu smpe keluar biji mata Luh ,mana nih suara nya yg kmrin koar iran udah ciut kt nya cuma bisa nyebar n berita hoalkhai pemakan babi buka mata luh lebar bila prlu smpe keluar biji mata luh ,mana nih suara ya yang kemarin koar iran sudah ciut kita ya cuma bisa nyebar n berita hoalkhai pemakan babi buka mata lu lebar bila perlu sampai keluar biji mata lu,"['mana', 'nih', 'suara', 'ya', 'yang', 'kemarin', 'koar', 'iran', 'sudah', 'ciut', 'kita', 'ya', 'cuma', 'bisa', 'nyebar', 'n', 'berita', 'hoalkhai', 'pemakan', 'babi', 'buka', 'mata', 'lu', 'lebar', 'bila', 'perlu', 'sampai', 'keluar', 'biji', 'mata', 'lu']",suara kemarin koar iran ciut nyebar n berita hoalkhai pemakan babi buka mata lu lebar biji mata lu
Dalam kendali IRGC hormus yes yes yes mantaaaap 💪❤️,Dalam kendali IRGC hormus yes yes yes mantaaaap ,dalam kendali irgc hormus yes yes yes mantaaaap ,dalam kendali irgc hormus yes yes yes mantaaaap,"['dalam', 'kendali', 'irgc', 'hormus', 'yes', 'yes', 'yes', 'mantaaaap']",kendali irgc hormuz yes yes yes mantaaaap
Lindungilah Iran dan umat muslim didunia ya ALLAH,Lindungilah Iran dan umat muslim didunia ya ALLAH,lindungilah iran dan umat muslim didunia ya allah,lindungilah iran dan umat muslim didunia ya allah,"['lindungilah', 'iran', 'dan', 'umat', 'muslim', 'didunia', 'ya', 'allah']",lindungilah iran umat muslim didunia allah
Bravo Iran. Tegas berwibawa dan tidak ada kompromi... Usir Amerika dari Timur Tengah dan selat Hormuz,Bravo Iran Tegas berwibawa dan tidak ada kompromi Usir Amerika dari Timur Tengah dan selat Hormuz,bravo iran tegas berwibawa dan tidak ada kompromi usir amerika dari timur tengah dan selat hormuz,bravo iran tegas berwibawa dan tidak ada kompromi usir amerika dari timur tengah dan selat hormuz,"['bravo', 'iran', 'tegas', 'berwibawa', 'dan', 'tidak', 'ada', 'kompromi', 'usir', 'amerika', 'dari', 'timur', 'tengah', 'dan', 'selat', 'hormuz']",bravo iran berwibawa kompromi usir amerika timur selat hormuz
Hoax hoax hoax rekaman lama,Hoax hoax hoax rekaman lama,hoax hoax hoax rekaman lama,hoax hoax hoax rekaman lama,"['hoax', 'hoax', 'hoax', 'rekaman', 'lama']",hoax hoax hoax rekaman
Malunya banyak gaya doang negara supel powel katanya 😂😂😂,Malunya banyak gaya doang negara supel powel katanya ,malunya banyak gaya doang negara supel powel katanya ,malunya banyak gaya doang negara supel powel katanya,"['malunya', 'banyak', 'gaya', 'doang', 'negara', 'supel', 'powel', 'katanya']",malunya gaya doang negara supel powel
Presiden Amerika dan perdana menteri israel Iblis dan Dajjal besar di Dunia ini,Presiden Amerika dan perdana menteri israel Iblis dan Dajjal besar di Dunia ini,presiden amerika dan perdana menteri israel iblis dan dajjal besar di dunia ini,presiden amerika dan perdana menteri israel iblis dan dajjal besar di dunia ini,"['presiden', 'amerika', 'dan', 'perdana', 'menteri', 'israel', 'iblis', 'dan', 'dajjal', 'besar', 'di', 'dunia', 'ini']",presiden amerika perdana menteri israel iblis dajjal dunia
Sidonald dan negaranya perusak tatanan alam dan kemesraan dunia,Sidonald dan negaranya perusak tatanan alam dan kemesraan dunia,sidonald dan negaranya perusak tatanan alam dan kemesraan dunia,sidonald dan negaranya perusak tatanan alam dan kemesraan dunia,"['sidonald', 'dan', 'negaranya', 'perusak', 'tatanan', 'alam', 'dan', 'kemesraan', 'dunia']",sidonald negaranya perusak tatanan alam kemesraan dunia
bagus iran;America itu licik. mau untung dia sendiri. 😂 maka dari itu hilangkan Amerika dari peta.,bagus iranAmerica itu licik mau untung dia sendiri  maka dari itu hilangkan Amerika dari peta,bagus iranamerica itu licik mau untung dia sendiri  maka dari itu hilangkan amerika dari peta,bagus iranamerica itu licik mau untung dia sendiri maka dari itu hilangkan amerika dari peta,"['bagus', 'iranamerica', 'itu', 'licik', 'mau', 'untung', 'dia', 'sendiri', 'maka', 'dari', 'itu', 'hilangkan', 'amerika', 'dari', 'peta']",bagus iranamerica licik untung hilangkan amerika peta
"Bravo iran❤❤❤
Negara kuat , mandiri dan berani 
Beda sama kono ah sudahlah anjirrr 😅","Bravo iran
Negara kuat  mandiri dan berani 
Beda sama kono ah sudahlah anjirrr ","bravo iran
negara kuat  mandiri dan berani 
beda sama kono ah sudahlah anjirrr ",bravo iran negara kuat mandiri dan berani beda sama kono ah sudahlah anjir,"['bravo', 'iran', 'negara', 'kuat', 'mandiri', 'dan', 'berani', 'beda', 'sama', 'kono', 'ah', 'sudahlah', 'anjir']",bravo iran negara kuat mandiri berani beda kono ah anjir
..USA negara super power presidennya ODGJ parah....😂,USA negara super power presidennya ODGJ parah,usa negara super power presidennya odgj parah,usah negara super power presidennya odgj parah,"['usah', 'negara', 'super', 'power', 'presidennya', 'odgj', 'parah']",negara super power presidennya odgj parah
"Wkwkwkkk kocak , Trump malu itu pasti 😅",Wkwkwkkk kocak  Trump malu itu pasti ,wkwkwkkk kocak  trump malu itu pasti ,wkwkwkkk kocak trump malu itu pasti,"['wkwkwkkk', 'kocak', 'trump', 'malu', 'itu', 'pasti']",wkwkwkkk kocak trump malu
"KNPA TDK Langsung Di hanguskan..
SEHARUSNYA IRAN 
TDK RAGU2 UNTUK 
MELENYAPKAN KAPAL2 AS..","KNPA TDK Langsung Di hanguskan
SEHARUSNYA IRAN 
TDK RAGU UNTUK 
MELENYAPKAN KAPAL AS","knpa tdk langsung di hanguskan
seharusnya iran 
tdk ragu untuk 
melenyapkan kapal as",kenapa tidak langsung di hanguskan seharusnya iran tidak ragu untuk melenyapkan kapal as,"['kenapa', 'tidak', 'langsung', 'di', 'hanguskan', 'seharusnya', 'iran', 'tidak', 'ragu', 'untuk', 'melenyapkan', 'kapal', 'as']",langsung hanguskan iran ragu melenyapkan kapal amerika serikat
Kapan trump kena stroke nih 😏😏😏,Kapan trump kena stroke nih ,kapan trump kena stroke nih ,kapan trump kena stroke nih,"['kapan', 'trump', 'kena', 'stroke', 'nih']",trump kena stroke
Duuuhh.. Iran kenapa nggak langsung tembak aja sih biar kapok,Duuuhh Iran kenapa nggak langsung tembak aja sih biar kapok,duuuhh iran kenapa nggak langsung tembak aja sih biar kapok,duh iran kenapa tidak langsung tembak saja sih biar kapok,"['duh', 'iran', 'kenapa', 'tidak', 'langsung', 'tembak', 'saja', 'sih', 'biar', 'kapok']",duh iran langsung tembak biar kapok
"Ini fidio lama sebelum perang 
Televisi aja pandai buat hoax di Konoha 😂😂😂😂😂😂 
Hoax hoax hoax 😊
Pande buat hoax","Ini fidio lama sebelum perang 
Televisi aja pandai buat hoax di Konoha  
Hoax hoax hoax 
Pande buat hoax","ini fidio lama sebelum perang 
televisi aja pandai buat hoax di konoha  
hoax hoax hoax 
pande buat hoax",ini fidio lama sebelum perang televisi saja pandai buat hoax di konoha hoax hoax hoax pande buat hoax,"['ini', 'fidio', 'lama', 'sebelum', 'perang', 'televisi', 'saja', 'pandai', 'buat', 'hoax', 'di', 'konoha', 'hoax', 'hoax', 'hoax', 'pande', 'buat', 'hoax']",fidio perang televisi pandai hoax indonesia hoax hoax hoax pande hoax
Iran satu satunya negara Islam utusan ALLAH unt melawan zionis ...,Iran satu satunya negara Islam utusan ALLAH unt melawan zionis ,iran satu satunya negara islam utusan allah unt melawan zionis ,iran satu satunya negara islam utusan allah unt melawan zionis,"['iran', 'satu', 'satunya', 'negara', 'islam', 'utusan', 'allah', 'unt', 'melawan', 'zionis']",iran satunya negara islam utusan allah unt melawan zionis
HANYA OTEN2.....YG MASIH MIRING OTAK' NYEEEEE😂😂😂😂😂,HANYA OTENYG MASIH MIRING OTAK NYEEEEE,hanya otenyg masih miring otak nyeeeee,hanya otenyg masih miring otak nyeeeee,"['hanya', 'otenyg', 'masih', 'miring', 'otak', 'nyeeeee']",otenyg miring otak nyeeeee
"As Israel pengecut 
Pujaan tiang jemuran 😂","As Israel pengecut 
Pujaan tiang jemuran ","as israel pengecut 
pujaan tiang jemuran ",as israel pengecut pujaan tiang jemuran,"['as', 'israel', 'pengecut', 'pujaan', 'tiang', 'jemuran']",amerika serikat israel pengecut pujaan tiang jemuran
"Nego di Pakistan aslinya Amerika licik dn mencari celah Iran lengah ,kalian salah kalian menantang singa  kalian yg dulu memulai perang ,,siapa yg memulai Iran akan mengakhiri",Nego di Pakistan aslinya Amerika licik dn mencari celah Iran lengah kalian salah kalian menantang singa  kalian yg dulu memulai perang siapa yg memulai Iran akan mengakhiri,nego di pakistan aslinya amerika licik dn mencari celah iran lengah kalian salah kalian menantang singa  kalian yg dulu memulai perang siapa yg memulai iran akan mengakhiri,nego di pakistan aslinya amerika licik dan mencari celah iran lengah kalian salah kalian menantang singa kalian yang dulu memulai perang siapa yang memulai iran akan mengakhiri,"['nego', 'di', 'pakistan', 'aslinya', 'amerika', 'licik', 'dan', 'mencari', 'celah', 'iran', 'lengah', 'kalian', 'salah', 'kalian', 'menantang', 'singa', 'kalian', 'yang', 'dulu', 'memulai', 'perang', 'siapa', 'yang', 'memulai', 'iran', 'akan', 'mengakhiri']",nego pakistan aslinya amerika licik mencari celah iran lengah salah menantang singa perang iran
"Iran terlalu baik, dalam kondisi perang masih memberi peringatan ke kapal perusak milik amerika.sedangkan amerika kalau menyerang secara tiba tiba.",Iran terlalu baik dalam kondisi perang masih memberi peringatan ke kapal perusak milik amerikasedangkan amerika kalau menyerang secara tiba tiba,iran terlalu baik dalam kondisi perang masih memberi peringatan ke kapal perusak milik amerikasedangkan amerika kalau menyerang secara tiba tiba,iran terlalu baik dalam kondisi perang masih memberi peringatan ke kapal perusak milik amerikasedangkan amerika kalau menyerang secara tiba tiba,"['iran', 'terlalu', 'baik', 'dalam', 'kondisi', 'perang', 'masih', 'memberi', 'peringatan', 'ke', 'kapal', 'perusak', 'milik', 'amerikasedangkan', 'amerika', 'kalau', 'menyerang', 'secara', 'tiba', 'tiba']",iran kondisi perang peringatan kapal perusak milik amerikasedangkan amerika menyerang
"Dasar penjajah tak punya otak, biadab.. hancurkan as dan Israil. Dari muka bumi.",Dasar penjajah tak punya otak biadab hancurkan as dan Israil Dari muka bumi,dasar penjajah tak punya otak biadab hancurkan as dan israil dari muka bumi,dasar penjajah tak punya otak biadab hancurkan as dan israil dari muka bumi,"['dasar', 'penjajah', 'tak', 'punya', 'otak', 'biadab', 'hancurkan', 'as', 'dan', 'israil', 'dari', 'muka', 'bumi']",dasar penjajah otak biadab hancurkan amerika serikat israil muka bumi
Trump saking frustasinya berhadapan dgn Iran .,Trump saking frustasinya berhadapan dgn Iran ,trump saking frustasinya berhadapan dgn iran ,trump saking frustasinya berhadapan dengan iran,"['trump', 'saking', 'frustasinya', 'berhadapan', 'dengan', 'iran']",trump saking frustasinya berhadapan iran
"Sikat aja penjajah global sikat dn hancurkan ,di jaman begini GK asah takut Iran ,sikat ancurkan penjajah global ini propaganda srewel dn Amerika SDH basu dunia tahu siapa yg biadab dn TDK manusiawi",Sikat aja penjajah global sikat dn hancurkan di jaman begini GK asah takut Iran sikat ancurkan penjajah global ini propaganda srewel dn Amerika SDH basu dunia tahu siapa yg biadab dn TDK manusiawi,sikat aja penjajah global sikat dn hancurkan di jaman begini gk asah takut iran sikat ancurkan penjajah global ini propaganda srewel dn amerika sdh basu dunia tahu siapa yg biadab dn tdk manusiawi,sikat saja penjajah global sikat dan hancurkan di jaman begini tidak asah takut iran sikat ancurkan penjajah global ini propaganda srewel dan amerika sudah basu dunia tahu siapa yang biadab dan tidak manusiawi,"['sikat', 'saja', 'penjajah', 'global', 'sikat', 'dan', 'hancurkan', 'di', 'jaman', 'begini', 'tidak', 'asah', 'takut', 'iran', 'sikat', 'ancurkan', 'penjajah', 'global', 'ini', 'propaganda', 'srewel', 'dan', 'amerika', 'sudah', 'basu', 'dunia', 'tahu', 'siapa', 'yang', 'biadab', 'dan', 'tidak', 'manusiawi']",sikat penjajah global sikat hancurkan jaman asah takut iran sikat ancurkan penjajah global propaganda srewel amerika basu dunia biadab manusiawi
Bravo iran ❤,Bravo iran ,bravo iran ,bravo iran,"['bravo', 'iran']",bravo iran
Trump orang tua busuk nak mamposss#😅,Trump orang tua busuk nak mamposss,trump orang tua busuk nak mamposss,trump orang tua busuk nak mamposss,"['trump', 'orang', 'tua', 'busuk', 'nak', 'mamposss']",trump tua busuk mamposss
"kalau indonesia silahkan masuk amirika minta apa, kalau arab silahkan masuk nanti saya kasih duit tambahan",kalau indonesia silahkan masuk amirika minta apa kalau arab silahkan masuk nanti saya kasih duit tambahan,kalau indonesia silahkan masuk amirika minta apa kalau arab silahkan masuk nanti saya kasih duit tambahan,kalau indonesia silakan masuk amirika meminta apa kalau arab silakan masuk nanti saya kasih duit tambahan,"['kalau', 'indonesia', 'silakan', 'masuk', 'amirika', 'meminta', 'apa', 'kalau', 'arab', 'silakan', 'masuk', 'nanti', 'saya', 'kasih', 'duit', 'tambahan']",indonesia silakan masuk amirika arab silakan masuk kasih duit tambahan
ALLAHU AKBAR ALLAHU AKBAR ALLAHU AKBAR,ALLAHU AKBAR ALLAHU AKBAR ALLAHU AKBAR,allahu akbar allahu akbar allahu akbar,allahu akbar allahu akbar allahu akbar,"['allahu', 'akbar', 'allahu', 'akbar', 'allahu', 'akbar']",allahu akbar allahu akbar allahu akbar
Aduuu hi kompas beri berita sportif saja,Aduuu hi kompas beri berita sportif saja,aduuu hi kompas beri berita sportif saja,aduuu hi kompas beri berita sportif saja,"['aduuu', 'hi', 'kompas', 'beri', 'berita', 'sportif', 'saja']",aduuu hi kompas berita sportif
Ya Allah bantu iran mereka berjuang dijalanmu,Ya Allah bantu iran mereka berjuang dijalanmu,ya allah bantu iran mereka berjuang dijalanmu,ya allah bantu iran mereka berjuang dijalanmu,"['ya', 'allah', 'bantu', 'iran', 'mereka', 'berjuang', 'dijalanmu']",allah bantu iran berjuang dijalanmu
"Tidak usah diperingatkan, langsung tembak saja",Tidak usah diperingatkan langsung tembak saja,tidak usah diperingatkan langsung tembak saja,tidak usah diperingatkan langsung tembak saja,"['tidak', 'usah', 'diperingatkan', 'langsung', 'tembak', 'saja']",diperingatkan langsung tembak
Sudahlah...... nanti menangis juga Iran .....,Sudahlah nanti menangis juga Iran ,sudahlah nanti menangis juga iran ,sudahlah nanti menangis juga iran,"['sudahlah', 'nanti', 'menangis', 'juga', 'iran']",menangis iran
Di situasi yang lagi memanas sebaiknya rakyat Iran jgn sering sering berkerumun an di lahan terbuka demi keamanan Rakyat sebaiknya kepemerintahan Iran cari solusi /di bungker lebih aman,Di situasi yang lagi memanas sebaiknya rakyat Iran jgn sering sering berkerumun an di lahan terbuka demi keamanan Rakyat sebaiknya kepemerintahan Iran cari solusi di bungker lebih aman,di situasi yang lagi memanas sebaiknya rakyat iran jgn sering sering berkerumun an di lahan terbuka demi keamanan rakyat sebaiknya kepemerintahan iran cari solusi di bungker lebih aman,di situasi yang lagi memanas sebaiknya rakyat iran jangan sering sering berkerumun an di lahan terbuka demi keamanan rakyat sebaiknya kepemerintahan iran cari solusi di bungker lebih aman,"['di', 'situasi', 'yang', 'lagi', 'memanas', 'sebaiknya', 'rakyat', 'iran', 'jangan', 'sering', 'sering', 'berkerumun', 'an', 'di', 'lahan', 'terbuka', 'demi', 'keamanan', 'rakyat', 'sebaiknya', 'kepemerintahan', 'iran', 'cari', 'solusi', 'di', 'bungker', 'lebih', 'aman']",situasi memanas rakyat iran berkerumun an lahan terbuka keamanan rakyat kepemerintahan iran cari solusi bungker aman
"Drama AS, kalah telak 😂😂😂😂",Drama AS kalah telak ,drama as kalah telak ,drama as kalah telak,"['drama', 'as', 'kalah', 'telak']",drama amerika serikat kalah telak
Saya hanya ingin oten Indonesia melihat rakyat Iran turun kejalan mendukung militer Iran biar melek,Saya hanya ingin oten Indonesia melihat rakyat Iran turun kejalan mendukung militer Iran biar melek,saya hanya ingin oten indonesia melihat rakyat iran turun kejalan mendukung militer iran biar melek,saya hanya ingin oten indonesia melihat rakyat iran turun kejalan mendukung militer iran biar melek,"['saya', 'hanya', 'ingin', 'oten', 'indonesia', 'melihat', 'rakyat', 'iran', 'turun', 'kejalan', 'mendukung', 'militer', 'iran', 'biar', 'melek']",oten indonesia rakyat iran turun kejalan mendukung militer iran biar melek
Trump ngawur...,Trump ngawur,trump ngawur,trump ngawur,"['trump', 'ngawur']",trump ngawur
"Serbu aja lah Amerika oleh semua negara....

Kapal-kapal tangker minyak milik negara-negara didunia itu berada di wilayah perairan IRAN kok mau di blokade Amerika....

Serbu rame-reme aja Amerika itu....bikin tambah kacau aja dunia ini....itu kan wilayah IRAN, bukan wilayah Amerika....

IRAN memasang tarif perlintasan itu wajar, akibat negaranya di bombardir Amerika hingga mengalami kerugian infrastruktur....itu semua gara-gara Amerika, akibatnya IRAN harus membiayai infrastruktur negaranya yang hancur akibat diserang Amerika dan ISRA-HELL...","Serbu aja lah Amerika oleh semua negara

Kapalkapal tangker minyak milik negaranegara didunia itu berada di wilayah perairan IRAN kok mau di blokade Amerika

Serbu ramereme aja Amerika itubikin tambah kacau aja dunia iniitu kan wilayah IRAN bukan wilayah Amerika

IRAN memasang tarif perlintasan itu wajar akibat negaranya di bombardir Amerika hingga mengalami kerugian infrastrukturitu semua garagara Amerika akibatnya IRAN harus membiayai infrastruktur negaranya yang hancur akibat diserang Amerika dan ISRAHELL","serbu aja lah amerika oleh semua negara

kapalkapal tangker minyak milik negaranegara didunia itu berada di wilayah perairan iran kok mau di blokade amerika

serbu ramereme aja amerika itubikin tambah kacau aja dunia iniitu kan wilayah iran bukan wilayah amerika

iran memasang tarif perlintasan itu wajar akibat negaranya di bombardir amerika hingga mengalami kerugian infrastrukturitu semua garagara amerika akibatnya iran harus membiayai infrastruktur negaranya yang hancur akibat diserang amerika dan israhell",serbu saja lah amerika oleh semua negara kapalkapal tangker minyak milik negaranegara didunia itu berada di wilayah perairan iran kok mau di blokade amerika serbu ramereme saja amerika itubikin tambah kacau saja dunia iniitu kan wilayah iran bukan wilayah amerika iran memasang tarif perlintasan itu wajar akibat negaranya di bombardir amerika hingga mengalami kerugian infrastrukturitu semua garagara amerika akibatnya iran harus membiayai infrastruktur negaranya yang hancur akibat diserang amerika dan israhell,"['serbu', 'saja', 'lah', 'amerika', 'oleh', 'semua', 'negara', 'kapalkapal', 'tangker', 'minyak', 'milik', 'negaranegara', 'didunia', 'itu', 'berada', 'di', 'wilayah', 'perairan', 'iran', 'kok', 'mau', 'di', 'blokade', 'amerika', 'serbu', 'ramereme', 'saja', 'amerika', 'itubikin', 'tambah', 'kacau', 'saja', 'dunia', 'iniitu', 'kan', 'wilayah', 'iran', 'bukan', 'wilayah', 'amerika', 'iran', 'memasang', 'tarif', 'perlintasan', 'itu', 'wajar', 'akibat', 'negaranya', 'di', 'bombardir', 'amerika', 'hingga', 'mengalami', 'kerugian', 'infrastrukturitu', 'semua', 'garagara', 'amerika', 'akibatnya', 'iran', 'harus', 'membiayai', 'infrastruktur', 'negaranya', 'yang', 'hancur', 'akibat', 'diserang', 'amerika', 'dan', 'israhell']",serbu amerika negara kapalkapal tangker minyak milik negaranegara didunia wilayah perairan iran blokade amerika serbu ramereme amerika itubikin kacau dunia iniitu wilayah iran wilayah amerika iran memasang tarif perlintasan wajar akibat negaranya bombardir amerika mengalami kerugian infrastrukturitu garagara amerika akibatnya iran membiayai infrastruktur negaranya hancur akibat diserang amerika israhell
"ITU KAPAL PERANG BERSENJATA, BUKAN KAPAL KOMERSIAL.......NGANCAM KAPAL BERSENJATA, APA BERANI TEMBAK...?",ITU KAPAL PERANG BERSENJATA BUKAN KAPAL KOMERSIALNGANCAM KAPAL BERSENJATA APA BERANI TEMBAK,itu kapal perang bersenjata bukan kapal komersialngancam kapal bersenjata apa berani tembak,itu kapal perang bersenjata bukan kapal komersialngancam kapal bersenjata apa berani tembak,"['itu', 'kapal', 'perang', 'bersenjata', 'bukan', 'kapal', 'komersialngancam', 'kapal', 'bersenjata', 'apa', 'berani', 'tembak']",kapal perang bersenjata kapal komersialngancam kapal bersenjata berani tembak
DURAL LANGSUNG SAJA PERAMPOK GK PERLU DI KASIH ADAB,DURAL LANGSUNG SAJA PERAMPOK GK PERLU DI KASIH ADAB,dural langsung saja perampok gk perlu di kasih adab,dural langsung saja perampok tidak perlu di kasih adab,"['dural', 'langsung', 'saja', 'perampok', 'tidak', 'perlu', 'di', 'kasih', 'adab']",dural langsung perampok kasih adab
As dan isrewel  jadi hantu dunia.. Negara negara hrs bersatu. Untuk musnahkan hantu,As dan isrewel  jadi hantu dunia Negara negara hrs bersatu Untuk musnahkan hantu,as dan isrewel  jadi hantu dunia negara negara hrs bersatu untuk musnahkan hantu,as dan isrewel jadi hantu dunia negara negara harus bersatu untuk musnahkan hantu,"['as', 'dan', 'isrewel', 'jadi', 'hantu', 'dunia', 'negara', 'negara', 'harus', 'bersatu', 'untuk', 'musnahkan', 'hantu']",amerika serikat isrewel hantu dunia negara negara bersatu musnahkan hantu
INILAH WAJAH ASLI AJARAN OTEN YANG DI BUNGKUS AJARAN KASIH PADAHAL PENGACAU DUNIA DENGAN MEMBUAT KEJAHATAN PEMBANTAIAN MULAI DULU KERJANYA MENJAJAH NEGARA LAIN BAHKAN INDONESIA JUGA TAK LUPUT DARI KEKEJAMAN AJARAN OTEN MANUSIA TAK BERMORAL,INILAH WAJAH ASLI AJARAN OTEN YANG DI BUNGKUS AJARAN KASIH PADAHAL PENGACAU DUNIA DENGAN MEMBUAT KEJAHATAN PEMBANTAIAN MULAI DULU KERJANYA MENJAJAH NEGARA LAIN BAHKAN INDONESIA JUGA TAK LUPUT DARI KEKEJAMAN AJARAN OTEN MANUSIA TAK BERMORAL,inilah wajah asli ajaran oten yang di bungkus ajaran kasih padahal pengacau dunia dengan membuat kejahatan pembantaian mulai dulu kerjanya menjajah negara lain bahkan indonesia juga tak luput dari kekejaman ajaran oten manusia tak bermoral,inilah wajah asli ajaran oten yang di bungkus ajaran kasih padahal pengacau dunia dengan membuat kejahatan pembantaian mulai dulu kerjanya menjajah negara lain bahkan indonesia juga tak luput dari kekejaman ajaran oten manusia tak bermoral,"['inilah', 'wajah', 'asli', 'ajaran', 'oten', 'yang', 'di', 'bungkus', 'ajaran', 'kasih', 'padahal', 'pengacau', 'dunia', 'dengan', 'membuat', 'kejahatan', 'pembantaian', 'mulai', 'dulu', 'kerjanya', 'menjajah', 'negara', 'lain', 'bahkan', 'indonesia', 'juga', 'tak', 'luput', 'dari', 'kekejaman', 'ajaran', 'oten', 'manusia', 'tak', 'bermoral']",wajah asli ajaran oten bungkus ajaran kasih pengacau dunia kejahatan pembantaian kerjanya menjajah negara indonesia luput kekejaman ajaran oten manusia bermoral
InsyaAllah Alloh SWT bersama iran🤲🏻,InsyaAllah Alloh SWT bersama iran,insyaallah alloh swt bersama iran,insyaallah allah swt bersama iran,"['insyaallah', 'allah', 'swt', 'bersama', 'iran']",insyaallah allah swt iran
"Aduh sayang kali,,,,,ngpain di Usir,,,,,Di Rudal aja sekalian. Mereka aja kalau ada kesempatan langsung main Rudal bahkan sampai pemimpin nya pun di target kan. Ada kesempatan kok malah di usir piye Toh,,,,",Aduh sayang kalingpain di UsirDi Rudal aja sekalian Mereka aja kalau ada kesempatan langsung main Rudal bahkan sampai pemimpin nya pun di target kan Ada kesempatan kok malah di usir piye Toh,aduh sayang kalingpain di usirdi rudal aja sekalian mereka aja kalau ada kesempatan langsung main rudal bahkan sampai pemimpin nya pun di target kan ada kesempatan kok malah di usir piye toh,aduh sayang kalingpain di usirdi rudal saja sekalian mereka saja kalau ada kesempatan langsung main rudal bahkan sampai pemimpin ya pun di target kan ada kesempatan kok malah di usir piye toh,"['aduh', 'sayang', 'kalingpain', 'di', 'usirdi', 'rudal', 'saja', 'sekalian', 'mereka', 'saja', 'kalau', 'ada', 'kesempatan', 'langsung', 'main', 'rudal', 'bahkan', 'sampai', 'pemimpin', 'ya', 'pun', 'di', 'target', 'kan', 'ada', 'kesempatan', 'kok', 'malah', 'di', 'usir', 'piye', 'toh']",aduh sayang kalingpain usirdi rudal kesempatan langsung main rudal pemimpin target kesempatan usir piye
Ketahuan bangsa rakus dan bangsa yg mempertahankan harga diri kedaulatan.,Ketahuan bangsa rakus dan bangsa yg mempertahankan harga diri kedaulatan,ketahuan bangsa rakus dan bangsa yg mempertahankan harga diri kedaulatan,ketahuan bangsa rakus dan bangsa yang mempertahankan harga diri kedaulatan,"['ketahuan', 'bangsa', 'rakus', 'dan', 'bangsa', 'yang', 'mempertahankan', 'harga', 'diri', 'kedaulatan']",ketahuan bangsa rakus bangsa mempertahankan harga kedaulatan
Kmrn perang kuat2an rudal balistik...skrg perang kuat2an blokade selat...perang macam apa ini...😂😂😂,Kmrn perang kuatan rudal balistikskrg perang kuatan blokade selatperang macam apa ini,kmrn perang kuatan rudal balistikskrg perang kuatan blokade selatperang macam apa ini,kemarin perang kuatan rudal balistikskrg perang kuatan blokade selatperang macam apa ini,"['kemarin', 'perang', 'kuatan', 'rudal', 'balistikskrg', 'perang', 'kuatan', 'blokade', 'selatperang', 'macam', 'apa', 'ini']",kemarin perang kuatan rudal balistikskrg perang kuatan blokade selatperang
"Jangan percaya AS , negara panipu itu 😅",Jangan percaya AS  negara panipu itu ,jangan percaya as  negara panipu itu ,jangan percaya as negara panipu itu,"['jangan', 'percaya', 'as', 'negara', 'panipu', 'itu']",percaya amerika serikat negara panipu
Dia kira bisa ngakali Trump.,Dia kira bisa ngakali Trump,dia kira bisa ngakali trump,dia kira bisa ngakali trump,"['dia', 'kira', 'bisa', 'ngakali', 'trump']",ngakali trump
Iran benar2 berdaulat..,Iran benar berdaulat,iran benar berdaulat,iran benar berdaulat,"['iran', 'benar', 'berdaulat']",iran berdaulat
"masa perang woy.. 
masih kasih peringatan untuk menjauh sebelum di tembak.. luar biasa..","masa perang woy 
masih kasih peringatan untuk menjauh sebelum di tembak luar biasa","masa perang woy 
masih kasih peringatan untuk menjauh sebelum di tembak luar biasa",masa perang woy masih kasih peringatan untuk menjauh sebelum di tembak luar biasa,"['masa', 'perang', 'woy', 'masih', 'kasih', 'peringatan', 'untuk', 'menjauh', 'sebelum', 'di', 'tembak', 'luar', 'biasa']",perang woy kasih peringatan menjauh tembak
HARUSNYA YA Langsung Saja Tenggelamkan 2 Kapal AS dan SANDRA itu jd Kekuatan Iran dan AS jd GAGAL Tidak bisa cuap2 lagi.,HARUSNYA YA Langsung Saja Tenggelamkan  Kapal AS dan SANDRA itu jd Kekuatan Iran dan AS jd GAGAL Tidak bisa cuap lagi,harusnya ya langsung saja tenggelamkan  kapal as dan sandra itu jd kekuatan iran dan as jd gagal tidak bisa cuap lagi,harusnya ya langsung saja tenggelamkan kapal as dan sandra itu jadi kekuatan iran dan as jadi gagal tidak bisa cuap lagi,"['harusnya', 'ya', 'langsung', 'saja', 'tenggelamkan', 'kapal', 'as', 'dan', 'sandra', 'itu', 'jadi', 'kekuatan', 'iran', 'dan', 'as', 'jadi', 'gagal', 'tidak', 'bisa', 'cuap', 'lagi']",langsung tenggelamkan kapal amerika serikat sandra kekuatan iran amerika serikat gagal cuap
